Category			Species		Count
		Geoalkalibacter subterraneus	483547	1	
		Pelobacter carbinolicus	19	1	
		Pelobacter propionicus	29543	1	
		Pelobacter acetylenicus	29542	1	
		Pelobacter sp. SFB93	1842532	1	
		Desulfuromonas soudanensis	1603606	1	
		Desulfuromonas sp. DDH964	1823759	1	
		Desulfovibrio vulgaris	881	4	
		Desulfovibrio alaskensis	58180	1	
		Desulfovibrio desulfuricans	876	2	
		Desulfovibrio magneticus	184917	1	
		Desulfovibrio salexigens	880	1	
		Desulfovibrio africanus	873	1	
		Desulfovibrio hydrothermalis	191026	1	
		Desulfovibrio gigas	879	1	
		Desulfovibrio fairfieldensis	44742	1	
		Desulfovibrio piger	901	1	
		Desulfovibrio sp. G11	631220	1	
		Candidatus Desulfovibrio trichonymphae	1725232	1	
		Pseudodesulfovibrio aespoeensis	182210	1	
		Pseudodesulfovibrio piezophilus	879567	1	
		Pseudodesulfovibrio indicus	1716143	1	
		Pseudodesulfovibrio profundus	57320	1	
		Lawsonia intracellularis	29546	2	
		Desulfomicrobium baculatum	899	1	
		Desulfomicrobium orale	132132	1	
		Desulfohalobium retbaense	45663	1	
		Desulfotalea psychrophila	84980	1	
		Desulfurivibrio alkaliphilus	427923	1	
		Desulfobulbus propionicus	894	1	
		Desulfobulbus sp. ORNL	1986146	1	
		Desulfocapsa sulfexigens	65555	1	
		Desulfococcus oleovorans	181663	1	
		Desulfococcus multivorans	897	1	
		Desulfatibacillum alkenivorans	259354	1	
		Desulfobacterium autotrophicum	2296	1	
		Desulfobacula toluolica	28223	1	
		Anaeromyxobacter dehalogenans	161493	2	
		Anaeromyxobacter sp. Fw109-5	404589	1	
		Anaeromyxobacter sp. K	447217	1	
		Myxococcus xanthus	34	1	
		Myxococcus fulvus	33	1	
		Myxococcus stipitatus	83455	1	
		Myxococcus hansupus	1297742	1	
		Myxococcus macrosporus	35	1	
		Corallococcus coralloides	184914	1	
		Stigmatella aurantiaca	41	1	
		Archangium gephyra	48	1	
		Melittangium boletus	83453	1	
		Cystobacter fuscus	43	1	
		Vulgatibacter incomptus	1391653	1	
		Sorangium cellulosum	56	2	
		Chondromyces crocatus	52	1	
		Sandaracinus amylolyticus	927083	1	
		Labilithrix luteola	1391654	1	
		Minicystis rosea	888845	1	
		Haliangium ochraceum	80816	1	
		Syntrophus aciditrophicus	316277	1	
		Desulfobacca acetoxidans	60893	1	
		Desulfomonile tiedjei	2358	1	
		Syntrophobacter fumaroxidans	119484	1	
		Desulfarculus baarsii	453230	1	
		Hippea maritima	84405	1	
		Desulfurella acetivorans	33002	1	
		Candidatus Babela massiliensis	673862	1	
		Bradymonas sediminis	1548548	1	
		Bdellovibrio bacteriovorus	959	4	
		Bdellovibrio exovorus	453816	1	
		Halobacteriovorax marinus	97084	1	
		Halobacteriovorax sp. BALOs 7		1	
		Bacteriovorax stolpii	960	1	
	Alphaproteobacteria	Rickettsia prowazekii	782	10	
		Rickettsia typhi	785	3	
		Rickettsia canadensis	788	2	
		Rickettsia bellii	33990	2	
		Rickettsia conorii	781	1	
		Rickettsia felis	42862	1	
		Rickettsia akari	786	1	
		Rickettsia rickettsii	783	10	
		Rickettsia massiliae	35791	2	
		Rickettsia peacockii	47589	1	
		Rickettsia africae	35788	1	
		Rickettsia heilongjiangensis	226665	1	
		Rickettsia japonica	35790	1	
		Rickettsia slovaca	35794	2	
		Rickettsia philipii	1105106	1	
		Rickettsia australis	787	1	
		Rickettsia montanensis	33991	1	
		Rickettsia parkeri	35792	1	
		Rickettsia rhipicephali	33992	1	
		Rickettsia amblyommatis	33989	2	
		Rickettsia monacensis	109232	1	
		Rickettsia endosymbiont of Bemisia tabaci	337479	1	
		Orientia tsutsugamushi	784	2	
		Candidatus Phycorickettsia trachydisci	2115978	1	
		Wolbachia endosymbiont of Drosophila melanogaster	163164	1	
		Wolbachia sp. wRi	66084	1	
		Wolbachia endosymbiont of Drosophila simulans	77038	2	
		Wolbachia endosymbiont of Culex quinquefasciatus	263437	1	
		Wolbachia endosymbiont of Brugia malayi	80849	1	
		Wolbachia endosymbiont of Onchocerca ochengi	100901	1	
		Wolbachia endosymbiont of Cimex lectularius	246273	1	
		Wolbachia endosymbiont of Folsomia candida	169402	1	
		Anaplasma marginale	770	4	
		Anaplasma centrale	769	1	
		Anaplasma phagocytophilum	948	4	
		Anaplasma ovis	142058	1	
		Ehrlichia ruminantium	779	3	
		Ehrlichia canis	944	1	
		Ehrlichia chaffeensis	945	8	
		Ehrlichia muris	35795	1	
		Ehrlichia sp. HF	391036	1	
		Neorickettsia sennetsu	951	1	
		Neorickettsia risticii	950	1	
		Neorickettsia helminthoeca	33994	1	
		Candidatus Midichloria mitochondrii	234827	1	
		Candidatus Fokinia solitaria	1802984	1	
		Rickettsiales bacterium Ac37b	1528098	1	
		Candidatus Paracaedibacter acanthamoebae	91604	1	
		Candidatus Paracaedimonas acanthamoebae	244581	1	
		Candidatus Nucleicultrix amoebiphila	1509244	1	
		endosymbiont of Acanthamoeba sp. UWC8	86106	1	
		Mesorhizobium japonicum	2066070	1	
		Mesorhizobium loti	381	1	
		Mesorhizobium ciceri	39645	1	
		Mesorhizobium opportunistum	593909	1	
		Mesorhizobium australicum	536018	1	
		Mesorhizobium amorphae	71433	1	
		Mesorhizobium sp. B7	1670800	1	
		Mesorhizobium sp. WSM1497	278153	1	
		Chelativorans sp. BNC1	266779	1	
		Hoeflea sp. IMCC20628	1620421	1	
		Aminobacter aminovorans	83263	1	
		Aminobacter sp. MSH1	374606	1	
		Phyllobacterium zundukense	1867719	1	
		Parvibaculum lavamentivorans	256618	1	
		Rhodobiaceae bacterium	2026785	1	
		Sinorhizobium meliloti	382	8	
		Sinorhizobium medicae	110321	1	
		Sinorhizobium fredii	380	3	
		Sinorhizobium sp. RAC02	1842534	1	
		Sinorhizobium americanum	194963	1	
		Sinorhizobium sp. CCBAU 05631	794846	1	
		Ensifer adhaerens	106592	2	
		Ensifer sojae	716925	1	
		Agrobacterium fabrum	1176649	1	
		Agrobacterium tumefaciens	358	3	
		Agrobacterium vitis	373	1	
		Agrobacterium sp. H13-3	861208	1	
		Agrobacterium sp. RAC06	1842536	1	
		Agrobacterium rhizogenes	359	1	
		Rhizobium etli	29449	4	
		Rhizobium sp. IE4771	1301032	1	
		Rhizobium leguminosarum	384	5	
		Rhizobium tropici	398	1	
		Rhizobium sp. IRBG74	424182	1	
		Rhizobium sp. LPU83	348824	1	
		Rhizobium gallicum	56730	1	
		Rhizobium sp. N1341	1703962	1	
		Rhizobium phaseoli	396	1	
		Rhizobium sp. NT-26	1125847	1	
		Rhizobium sp. N731	1703966	1	
		Rhizobium sp. S41	1869170	1	
		Rhizobium sp. Kim5	2020311	1	
		Rhizobium esperanzae	1967781	1	
		Neorhizobium galegae	399	2	
		Neorhizobium sp. SOG26	2060726	1	
		Neorhizobium sp. NCHU2750	1825976	1	
		Candidatus Liberibacter asiaticus	34021	3	
		Candidatus Liberibacter solanacearum	556287	1	
		Liberibacter crescens	1273132	1	
		Candidatus Liberibacter americanus	309868	1	
		Candidatus Liberibacter africanus	34020	1	
		Shinella sp. HZN7	879274	1	
		Brucella melitensis	29459	7	
		Brucella abortus	235	11	
		Brucella suis	29461	12	
		Brucella ovis	236	1	
		Brucella canis	36855	5	
		Brucella microti	444163	1	
		Brucella pinnipedialis	120576	2	
		Brucella ceti	120577	2	
		Brucella vulpis	981386	1	
		Brucella sp. 2002734562	1891098	1	
		Ochrobactrum anthropi	529	2	
		Ochrobactrum pseudogrignonense	419475	1	
		Ochrobactrum sp. A44	271865	1	
		Bradyrhizobium diazoefficiens	1355477	1	
		Bradyrhizobium japonicum	375	2	
		Bradyrhizobium sp. ORS 278	114615	1	
		Bradyrhizobium sp. BTAi1	288000	1	
		Bradyrhizobium sp. S23321	335659	1	
		Bradyrhizobium oligotrophicum	44255	1	
		Bradyrhizobium sp. CCGE-LA001	1223566	1	
		Bradyrhizobium sp.	376	1	
		Bradyrhizobium icense	1274631	1	
		Bradyrhizobium sp. ORS 285	115808	1	
		Bradyrhizobium sp. SK17	2057741	1	
		Bradyrhizobium ottawaense	931866	1	
		Bradyrhizobium sp. 2 39S1MB	1404768	1	
		Rhodopseudomonas palustris	1076	7	
		Nitrobacter winogradskyi	913	1	
		Nitrobacter hamburgensis	912	1	
		Oligotropha carboxidovorans	40137	3	
		Bosea sp. PAMC 26642	1792307	1	
		Bosea sp. RAC05	1842539	1	
		Bosea vaviloviae	1526658	1	
		Variibacter gotjawalensis	1333996	1	
		Bartonella henselae	38323	3	
		Bartonella quintana	803	2	
		Bartonella bacilliformis	774	1	
		Bartonella tribocorum	85701	2	
		Bartonella grahamii	33045	1	
		Bartonella clarridgeiae	56426	1	
		Bartonella australis	388640	1	
		Bartonella vinsonii	33047	1	
		Bartonella ancashensis	1318743	1	
		Bartonella apis	1686310	1	
		Bartonella sp. JB15	1933906	1	
		Bartonella sp. A1379B	1933910	1	
		Bartonella sp. WD16.2	1933904	1	
		Bartonella sp. Raccoon60	1933912	1	
		Bartonella sp. 1-1C	515256	1	
		Bartonella sp. JB63	1933907	1	
		Xanthobacter autotrophicus	280	1	
		Azorhizobium caulinodans	7	1	
		Starkeya novella	921	1	
		Methylorubrum extorquens	408	4	
		Methylorubrum populi	223967	1	
		Methylorubrum zatmanii	29429	1	
		Methylobacterium radiotolerans	31998	1	
		Methylobacterium sp. 4-46	426117	1	
		Methylobacterium nodulans	114616	1	
		Methylobacterium oryzae	334852	1	
		Methylobacterium sp. AMS5	925818	1	
		Methylobacterium aquaticum	270351	1	
		Methylobacterium phyllosphaerae	418223	1	
		Methylobacterium currus	2051553	1	
		Methylobacterium sp. DM1	2067957	1	
		Methylobacterium sp. XJLW	739141	1	
		Methylobacterium sp. 17SD2-17	2202825	1	
		Microvirga ossetica	1882682	1	
		Microvirga sp. 17 mud 1-3	2082949	1	
		Beijerinckia indica	533	1	
		Methylocella silvestris	199596	1	
		Chelatococcus sp. CO-6	1702325	1	
		Chelatococcus daeguensis	444444	1	
		Hyphomicrobium denitrificans	53399	2	
		Hyphomicrobium sp. MC1	717785	1	
		Hyphomicrobium nitrativorans	1427356	1	
		Rhodomicrobium vannielii	1069	1	
		Pelagibacterium halotolerans	531813	1	
		Candidatus Filomicrobium marinum	1608628	2	
		Devosia sp. H5989	1643450	1	
		Devosia sp. I507	2083786	1	
		Blastochloris viridis	1079	1	
		Rhodoplanes sp. Z2-YC6860	674703	1	
		Maritalea myrionectae	454601	1	
		Methylocystis sp. SC2	187303	1	
		Methylocystis bryophila	655015	1	
		Methylocystis rosea	173366	1	
		Methylosinus trichosporium	426	1	
		Martelella endophytica	1486262	1	
		Martelella sp. AD-3	686597	1	
		Martelella mediterranea	293089	1	
		Aureimonas sp. AU20	1349819	1	
		Breoghania sp. L-A4	2304600	1	
		Candidatus Hodgkinia cicadicola	573658	4	
		Methyloceanibacter caenitepidi	1384459	1	
		Candidatus Tokpelaia hoelldoblerii	1902579	1	
		Pseudorhodoplanes sinuspersici	1235591	1	
		Hartmannibacter diazotrophicus	1482074	1	
		Rhizobiales bacterium NRL2	1862950	1	
		Caulobacter vibrioides	155892	2	
		Caulobacter sp. K31	366602	1	
		Caulobacter segnis	88688	1	
		Caulobacter henricii	69395	1	
		Caulobacter mirabilis	69666	1	
		Caulobacter flavus	1679497	1	
		Phenylobacterium zucineum	284016	1	
		Phenylobacterium sp. HYN0004	2201350	1	
		Brevundimonas subvibrioides	74313	1	
		Brevundimonas sp. DS20	1532555	1	
		Brevundimonas naejangsanensis	588932	1	
		Brevundimonas sp. GW460-12-10-14-LB2	1827469	1	
		Brevundimonas sp. LM2	1938605	1	
		Brevundimonas vesicularis	41276	1	
		Asticcacaulis excentricus	78587	1	
		Caulobacteraceae bacterium OTSz A_272		1	
		Ruegeria pomeroyi	89184	1	
		Ruegeria sp. TM1040	292414	1	
		Ruegeria sp. NKC1-1	2099786	1	
		Ruegeria sp. AD91A	2293862	1	
		Epibacterium mobile	379347	1	
		Rhodobacter sphaeroides	1063	4	
		Rhodobacter capsulatus	1061	1	
		Rhodobacter sp. LPB0142	1850250	1	
		Rhodobacter blasticus	1075	1	
		Jannaschia sp. CCS1	290400	1	
		Roseobacter denitrificans	2434	1	
		Roseobacter litoralis	42443	1	
		Paracoccus denitrificans	266	1	
		Paracoccus aminophilus	34003	1	
		Paracoccus yeei	147645	1	
		Paracoccus contaminans	1945662	1	
		Paracoccus zhejiangensis	1077935	1	
		Paracoccus sp. BM15	1529068	1	
		Paracoccus sp. CBA4604	2065379	1	
		Paracoccus aminovorans	34004	1	
		Paracoccus mutanolyticus	1499308	1	
		Paracoccus sp. SC2-6	2259340	1	
		Dinoroseobacter shibae	215813	1	
		Ketogulonicigenium vulgare	92945	2	
		Ketogulonicigenium robustum	92947	1	
		Pseudovibrio sp. FO-BEG1	911045	1	
		Phaeobacter inhibens	221822	2	
		Phaeobacter gallaeciensis	60890	1	
		Phaeobacter sp. P97	1844006	1	
		Phaeobacter piscinae	1580596	1	
		Phaeobacter sp. LSS9	681157	1	
		Octadecabacter antarcticus	1217908	1	
		Octadecabacter arcticus	53946	1	
		Octadecabacter temperatus	1458307	1	
		Leisingera methylohalidivorans	133924	1	
		Roseibacterium elongatum	159346	1	
		Planktomarina temperata	1284658	1	
		Celeribacter indicus	1208324	1	
		Celeribacter marinus	1397108	1	
		Celeribacter ethanolicus	1758178	1	
		Celeribacter manganoxidans	1411902	1	
		Marinovum algicola	42444	1	
		Confluentimicrobium sp. EMB200-NS6	1609966	1	
		Rhodovulum sulfidophilum	35806	1	
		Rhodovulum sp. MB263	308754	1	
		Rhodovulum sp. P5	1564506	1	
		Pannonibacter phragmitetus	121719	1	
		Halocynthiibacter arcticus	1579316	1	
		Labrenzia sp. CP4	1674922	1	
		Labrenzia aggregata	187304	1	
		Labrenzia sp. VG12	2021862	1	
		Defluviimonas alba	1335048	1	
		Yangia sp. CCB-MM3	1792508	1	
		Yangia pacifica	311180	1	
		Sulfitobacter sp. AM1-D1	1917485	1	
		Sulfitobacter pseudonitzschiae	1402135	1	
		Sulfitobacter sp. SK012	1389005	1	
		Sulfitobacter sp. JL08	2070369	1	
		Sulfitobacter sp. D7	1968541	1	
		Marivivens sp. JLT3646	1920883	1	
		Salipiger profundus	1229727	1	
		Tateyamaria omphalii	299262	1	
		Pelagibaca abyssi	1250539	1	
		Thioclava nitratireducens	1915078	1	
		Roseovarius mucosus	215743	1	
		Roseovarius sp. TM1035	391613	1	
		Yoonia vestfoldensis	245188	1	
		Antarctobacter heliothermus	74033	1	
		Rhodobaca barguzinensis	441209	1	
		Sagittula sp. P11	2009329	1	
		Thalassococcus sp. SH-1	2109625	1	
		Gemmobacter sp. HYN0069	2169400	1	
		Rhodobacteraceae bacterium	1904441	1	
		Maricaulis maris	74318	1	
		Hyphomonas neptunium	81032	1	
		Hirschia baltica	2724	1	
		Hyphomonadaceae bacterium UKL13-1	1690484	1	
		Zymomonas mobilis	542	8	
		Novosphingobium aromaticivorans	48935	1	
		Novosphingobium sp. PP1Y	702113	1	
		Novosphingobium pentaromativorans	205844	1	
		Novosphingobium resinovorum	158500	1	
		Novosphingobium sp. P6W	1609758	1	
		Novosphingobium sp. THN1	1016987	1	
		Sphingopyxis alaskensis	117207	1	
		Sphingopyxis fribergensis	1515612	1	
		Sphingopyxis sp. 113P3	292913	1	
		Sphingopyxis macrogoltabida	33050	2	
		Sphingopyxis terrae	33052	1	
		Sphingopyxis granuli	267128	1	
		Sphingopyxis sp. LPB0140	1913578	1	
		Sphingopyxis sp. QXT-31	1357916	1	
		Sphingopyxis sp. MG	1866325	1	
		uncultured Sphingopyxis sp.	310581	1	
		Sphingomonas wittichii	160791	2	
		Sphingomonas sp. MM-1	745310	1	
		Sphingomonas taxi	1549858	1	
		Sphingomonas hengshuiensis	1609977	1	
		Sphingomonas sanxanigenens	397260	1	
		Sphingomonas sp. NIC1	1961362	1	
		Sphingomonas melonis	152682	1	
		Sphingomonas panacis	1560345	1	
		Sphingomonas koreensis	93064	1	
		Sphingomonas sp. LM7	1938607	1	
		Sphingomonas sp. LK11	1390395	1	
		Sphingomonas sp. JJ-A5	1921510	1	
		Sphingomonas sp. KC8	1030157	1	
		Sphingomonas sp. Cra20	1327635	1	
		Sphingomonas sp. FARSPH	2219696	1	
		Sphingomonas sp. YZ-8	2319844	1	
		Sphingobium japonicum	332056	1	
		Sphingobium chlorophenolicum	46429	1	
		Sphingobium sp. SYK-6	627192	1	
		Sphingobium sp. YBL2	484429	1	
		Sphingobium baderi	1332080	1	
		Sphingobium sp. MI1205	407020	1	
		Sphingobium sp. EP60837	1855519	1	
		Sphingobium sp. RAC03	1843368	1	
		Sphingobium indicum	332055	1	
		Sphingobium sp. TKS	1315974	1	
		Sphingobium hydrophobicum	1673076	1	
		Sphingobium yanoikuyae	13690	1	
		Sphingobium cloacae	120107	1	
		Citromicrobium sp. JL477	1634516	1	
		Sphingorhabdus sp. M41	1806885	1	
		Sphingorhabdus flavimaris	266812	1	
		Sphingorhabdus sp. YGSMI21	2077182	1	
		Blastomonas sp. RAC04	1842535	1	
		Blastomonas fulva	1550728	1	
		Rhizorhabdus dicambivorans	1850238	1	
		Erythrobacter litoralis	39960	2	
		Erythrobacter sp. s21-N3	1648404	1	
		Erythrobacter gangjinensis	502682	1	
		Erythrobacter flavus	192812	1	
		Erythrobacter sp. KY5	2011159	1	
		Erythrobacter sp. YH-07	2182384	1	
		Altererythrobacter atlanticus	1267766	1	
		Altererythrobacter marensis	543877	1	
		Altererythrobacter epoxidivorans	361183	1	
		Altererythrobacter namhicola	645517	1	
		Altererythrobacter dongtanensis	692370	1	
		Altererythrobacter sp. B11	2060312	1	
		Croceicoccus naphthovorans	1348774	1	
		Croceicoccus marinus	450378	1	
		Porphyrobacter neustonensis	1112	1	
		Porphyrobacter sp. LM 6	1896196	1	
		Porphyrobacter HT-58-2	2023229	1	
		Gluconobacter oxydans	442	3	
		Gluconobacter albidus	318683	1	
		Granulibacter bethesdensis	364410	4	
		Acidiphilium cryptum	524	1	
		Acidiphilium multivorum	62140	1	
		Gluconacetobacter diazotrophicus	33996	2	
		Komagataeibacter medellinensis	1177712	1	
		Komagataeibacter xylinus	28448	1	
		Komagataeibacter nataicola	265960	1	
		Komagataeibacter europaeus	33995	1	
		Komagataeibacter saccharivorans	265959	1	
		Acetobacter pasteurianus	438	9	
		Acetobacter senegalensis	446692	1	
		Acetobacter oryzifermentans	1633874	1	
		Acetobacter aceti	435	1	
		Acetobacter persici	1076596	1	
		Acetobacter pomorum	65959	1	
		Acetobacter tropicalis	104102	1	
		Acetobacter ascendens	481146	1	
		Acetobacter sp. JWB	2259883	1	
		Asaia bogorensis	91915	1	
		Kozakia baliensis	153496	1	
		Roseomonas gilardii	257708	1	
		Roseomonas sp. FDAARGOS 362		1	
		Neoasaia chiangmaiensis	320497	1	
		Commensalibacter sp. AMU001	2478912	1	
		Rhodospirillum rubrum	1085	2	
		Rhodospirillum centenum	34018	1	
		Pararhodospirillum photometricum	1084	1	
		Magnetospirillum magneticum	84159	1	
		Magnetospirillum gryphiswaldense	55518	2	
		Magnetospirillum sp. XM-1	1663591	1	
		Magnetospirillum sp. ME-1	1639348	1	
		Azospirillum lipoferum	193	2	
		Azospirillum brasilense	192	3	
		Azospirillum thiophilum	528244	1	
		Azospirillum humicireducens	1226968	1	
		Azospirillum sp. TSH58	664962	1	
		Azospirillum sp. M2T2B2	682998	1	
		Tistrella mobilis	171437	1	
		Candidatus Endolissoclinum faulkneri	1263979	2	
		Thalassospira xiamenensis	220697	1	
		Thalassospira marina	2048283	1	
		Thalassospira indica	1891279	1	
		Magnetospira sp. QH-2	1288970	1	
		Haematospirillum jordaniae	1549855	1	
		Nitrospirillum amazonense	28077	1	
		Niveispirillum cyanobacteriorum	1612173	1	
		Parvularcula bermudensis	208216	1	
		Magnetococcus marinus	1124597	1	
		Candidatus Pelagibacter ubique	198252	1	
		Candidatus Pelagibacter sp. IMCC9063	1002672	1	
		alpha proteobacterium HIMB59	744985	1	
		alpha proteobacterium HIMB5	859653	1	
		Micavibrio aeruginosavorus	349221	2	
		Polymorphum gilvum	991904	1	
		Phreatobacter sp. S-12	1868589	1	
		Candidatus Puniceispirillum marinum	767892	1	
	Other proteobacteria	Acidithiobacillus ferrooxidans	920	2	
		Acidithiobacillus caldus	33059	2	
		Acidithiobacillus ferrivorans	160808	1	
		Mariprofundus aestuarium	1921086	1	
		Mariprofundus ferrinatatus	1921087	1	
		Hydrogenophilus thermoluteolus	297	1	
	Firmicutes - Bacilli	Bacillus subtilis	1423	15	
		Bacillus licheniformis	1402	2	
		Bacillus paralicheniformis	1648923	1	
		Bacillus velezensis	492670	11	
		Bacillus amyloliquefaciens	1390	8	
		Bacillus atrophaeus	1452	1	
		Bacillus vallismortis	72361	1	
		Bacillus halodurans	86665	1	
		Bacillus anthracis	1392	11	
		Bacillus cereus	1396	14	
		Bacillus cytotoxicus	580165	1	
		Bacillus thuringiensis	1428	16	
		Bacillus mycoides	1405	3	
		Bacillus toyonensis	155322	1	
		Bacillus pseudomycoides	64104	1	
		Bacillus bombysepticus	658666	1	
		Bacillus clausii	79880	1	
		Bacillus pumilus	1408	3	
		Bacillus pseudofirmus	79885	1	
		Bacillus megaterium	1404	4	
		Bacillus cellulosilyticus	1413	1	
		Bacillus coagulans	1398	3	
		Bacillus sp. JS	1127744	1	
		Bacillus sp. 1NLA3E	666686	1	
		Bacillus infantis	324767	1	
		Bacillus lehensis	300825	1	
		Bacillus methanolicus	1471	1	
		Bacillus sp. X1(2014)	1565991	1	
		Bacillus sp. WP8	756828	1	
		Bacillus sp. Pc3	1446792	1	
		Bacillus sp. BH072	1570330	1	
		Bacillus sp. OxB-1	98228	1	
		Bacillus sp. YP1	1574141	1	
		Bacillus sp. BS34A	1806506	1	
		Bacillus sp. LM 4-2	1628753	1	
		Bacillus endophyticus	135735	1	
		Bacillus smithii	1479	1	
		Bacillus simplex	1478	1	
		Bacillus oceanisediminis	665099	1	
		Bacillus glycinifermentans	1664069	1	
		Bacillus flexus	86664	1	
		Bacillus gibsonii	79881	1	
		Bacillus weihaiensis	1547283	1	
		Bacillus xiamenensis	1178537	1	
		Bacillus horikoshii	79883	1	
		Bacillus krulwichiae	199441	1	
		Bacillus beveridgei	632773	1	
		Bacillus kochii	859143	1	
		Bacillus altitudinis	293387	1	
		Bacillus sp. SDLI1	1774743	1	
		Bacillus muralis	264697	1	
		Bacillus safensis	561879	1	
		Bacillus intestinalis	1963032	1	
		Oceanobacillus iheyensis	182710	1	
		Oceanobacillus sp. 160	2052660	1	
		Geobacillus kaustophilus	1462	1	
		Geobacillus thermoleovorans	33941	2	
		Geobacillus thermocatenulatus	33938	1	
		Geobacillus lituanicus	169283	1	
		Geobacillus thermodenitrificans	33940	1	
		Geobacillus sp. WCH70	471223	1	
		Geobacillus sp. Y412MC61	544556	1	
		Geobacillus sp. Y412MC52	550542	1	
		Geobacillus sp. C56-T3	691437	1	
		Geobacillus sp. Y4.1MC1	581103	1	
		Geobacillus sp. GHH01	1233873	1	
		Geobacillus genomosp. 3	1921421	1	
		Geobacillus sp. 12AMOR1	1629723	1	
		Geobacillus sp. LC300	1519377	1	
		Geobacillus stearothermophilus	1422	1	
		Geobacillus subterraneus	129338	1	
		Geobacillus sp. JS12	1813182	1	
		Parageobacillus thermoglucosidans	1426	1	
		Parageobacillus thermoglucosidasius	1426	1	
		Anoxybacillus flavithermus	33934	1	
		Anoxybacillus gonensis	198467	1	
		Anoxybacillus sp. B2M1	1490052	1	
		Anoxybacillus amylolyticus	294699	1	
		Anoxybacillus sp. B7M1	1490057	1	
		Amphibacillus xylanus	1449	1	
		Lysinibacillus sphaericus	1421	1	
		Lysinibacillus varians	1145276	1	
		Lysinibacillus fusiformis	28031	1	
		Lysinibacillus sp. YS11	2072025	1	
		Lysinibacillus sp. B2A1	2081964	1	
		Lysinibacillus sp. 2017	2169540	1	
		Halobacillus halophilus	1570	1	
		Halobacillus mangrovi	402384	1	
		Terribacillus goriensis	386490	1	
		Virgibacillus sp. SK37	403957	1	
		Virgibacillus halodenitrificans	1482	1	
		Virgibacillus sp. 6R	1911587	1	
		Virgibacillus phasianinus	2017483	1	
		Virgibacillus necropolis	163877	1	
		Virgibacillus dokdonensis	302167	1	
		Lentibacillus amyloliquefaciens	1472767	1	
		Fictibacillus phosphorivorans	1221500	1	
		Fictibacillus arsenicus	255247	1	
		Salimicrobium jeotgali	1230341	1	
		Aeribacillus pallidus	33936	1	
		[Bacillus] selenitireducens	85683	1	
		Staphylococcus aureus	1280	53	
		Staphylococcus argenteus	985002	1	
		Staphylococcus epidermidis	1282	4	
		Staphylococcus haemolyticus	1283	2	
		Staphylococcus saprophyticus	29385	1	
		Staphylococcus carnosus	1281	1	
		Staphylococcus lugdunensis	28035	2	
		Staphylococcus pseudintermedius	283734	2	
		Staphylococcus warneri	1292	1	
		Staphylococcus pasteuri	45972	1	
		Staphylococcus xylosus	1288	3	
		Staphylococcus hyicus	1284	1	
		Staphylococcus capitis	29388	1	
		Staphylococcus schleiferi	1295	2	
		Staphylococcus agnetis	985762	1	
		Staphylococcus equorum	246432	1	
		Staphylococcus simulans	1286	1	
		Staphylococcus condimenti	70255	1	
		Staphylococcus pettenkoferi	170573	1	
		Staphylococcus lutrae	155085	1	
		Staphylococcus cohnii	29382	1	
		Staphylococcus sciuri	1296	1	
		Staphylococcus nepalensis	214473	1	
		Staphylococcus kloosii	29384	1	
		Staphylococcus felis	46127	1	
		Macrococcus caseolyticus	69966	1	
		Macrococcus canis	1855823	1	
		Macrococcus sp. IME1552	1898474	1	
		Salinicoccus halodurans	407035	1	
		Auricoccus indicus	1849491	1	
		Listeria monocytogenes	1639	37	
		Listeria innocua	1642	1	
		Listeria welshimeri	1643	1	
		Listeria seeligeri	1640	1	
		Listeria ivanovii	1638	5	
		Listeria weihenstephanensis	1006155	1	
		Brochothrix thermosphacta	2756	1	
		Exiguobacterium sibiricum	332410	1	
		Exiguobacterium sp. AT1b	360911	1	
		Exiguobacterium antarcticum	132920	1	
		Exiguobacterium sp. MH3	1399115	1	
		Exiguobacterium sp. U13-1	1849031	1	
		Gemella sp. oral taxon 928	1785995	1	
		Gemella morbillorum	29391	1	
		Gemella sp. ND 6198	2040624	1	
		Brevibacillus brevis	1393	1	
		Brevibacillus laterosporus	1465	1	
		Brevibacillus formosus	54913	1	
		Paenibacillus sp. JDR-2	324057	1	
		Paenibacillus sp. Y412MC10	481743	1	
		Paenibacillus polymyxa	1406	6	
		Paenibacillus mucilaginosus	61624	3	
		Paenibacillus terrae	159743	1	
		Paenibacillus larvae	1464	1	
		Paenibacillus sabinae	365617	1	
		Paenibacillus durus	44251	1	
		Paenibacillus borealis	160799	1	
		Paenibacillus graminis	189425	1	
		Paenibacillus odorifer	189426	1	
		Paenibacillus sp. FSL P4-0081	1536769	1	
		Paenibacillus sp. FSL R5-0345	1536770	1	
		Paenibacillus sp. FSL R5-0912	1536771	1	
		Paenibacillus stellifer	169760	1	
		Paenibacillus sp. FSL R7-0273	1536772	1	
		Paenibacillus sp. FSL R7-0331	1536773	1	
		Paenibacillus sp. FSL H7-0357	1536774	1	
		Paenibacillus sp. FSL H7-0737	1536775	1	
		Paenibacillus beijingensis	1126833	1	
		Paenibacillus sp. IHBB 10380	1566358	1	
		Paenibacillus riograndensis	483937	1	
		Paenibacillus peoriae	59893	1	
		Paenibacillus naphthalenovorans	162209	1	
		Paenibacillus sp. 32O-W	1695218	1	
		Paenibacillus bovis	1616788	1	
		Paenibacillus xylanexedens	528191	1	
		Paenibacillus yonginensis	1462996	1	
		Paenibacillus swuensis	1178515	1	
