Name_of_pre.generated_SBGN_file	pathway.database	PATHWAY_URI	sub.database	pathway.id	DISPLAY_NAME
http___identifiers.org_reactome_R-HSA-2995383.sbgn	pathwayCommons	http://identifiers.org/reactome/R-HSA-2995383	reactome	R-HSA-2995383	Initiation of Nuclear Envelope Reformation
http___identifiers.org_reactome_R-HSA-3000157.sbgn	pathwayCommons	http://identifiers.org/reactome/R-HSA-3000157	reactome	R-HSA-3000157	Laminin interactions
http___identifiers.org_reactome_R-HSA-3000170.sbgn	pathwayCommons	http://identifiers.org/reactome/R-HSA-3000170	reactome	R-HSA-3000170	Syndecan interactions
http___identifiers.org_reactome_R-HSA-3000171.sbgn	pathwayCommons	http://identifiers.org/reactome/R-HSA-3000171	reactome	R-HSA-3000171	Non-integrin membrane-ECM interactions
http___identifiers.org_reactome_R-HSA-3000178.sbgn	pathwayCommons	http://identifiers.org/reactome/R-HSA-3000178	reactome	R-HSA-3000178	ECM proteoglycans
http___identifiers.org_reactome_R-HSA-3000471.sbgn	pathwayCommons	http://identifiers.org/reactome/R-HSA-3000471	reactome	R-HSA-3000471	Scavenging by Class B Receptors
http___identifiers.org_reactome_R-HSA-3000480.sbgn	pathwayCommons	http://identifiers.org/reactome/R-HSA-3000480	reactome	R-HSA-3000480	Scavenging by Class A Receptors
http___identifiers.org_reactome_R-HSA-3000484.sbgn	pathwayCommons	http://identifiers.org/reactome/R-HSA-3000484	reactome	R-HSA-3000484	Scavenging by Class F Receptors
http___identifiers.org_reactome_R-HSA-3000497.sbgn	pathwayCommons	http://identifiers.org/reactome/R-HSA-3000497	reactome	R-HSA-3000497	Scavenging by Class H Receptors
http___identifiers.org_reactome_R-HSA-3065676.sbgn	pathwayCommons	http://identifiers.org/reactome/R-HSA-3065676	reactome	R-HSA-3065676	SUMO is conjugated to E1 (UBA2:SAE1)
http___identifiers.org_reactome_R-HSA-3065678.sbgn	pathwayCommons	http://identifiers.org/reactome/R-HSA-3065678	reactome	R-HSA-3065678	"SUMO is transferred from E1 to E2 (UBE2I, UBC9)"
http___identifiers.org_reactome_R-HSA-3065679.sbgn	pathwayCommons	http://identifiers.org/reactome/R-HSA-3065679	reactome	R-HSA-3065679	SUMO is proteolytically processed
http___identifiers.org_reactome_R-HSA-3108214.sbgn	pathwayCommons	http://identifiers.org/reactome/R-HSA-3108214	reactome	R-HSA-3108214	SUMOylation of DNA damage response and repair proteins
http___identifiers.org_reactome_R-HSA-3134963.sbgn	pathwayCommons	http://identifiers.org/reactome/R-HSA-3134963	reactome	R-HSA-3134963	DEx/H-box helicases activate type I IFN and inflammatory cytokines production
http___identifiers.org_reactome_R-HSA-3134973.sbgn	pathwayCommons	http://identifiers.org/reactome/R-HSA-3134973	reactome	R-HSA-3134973	LRR FLII-interacting protein 1 (LRRFIP1) activates type I IFN production
http___identifiers.org_reactome_R-HSA-3134975.sbgn	pathwayCommons	http://identifiers.org/reactome/R-HSA-3134975	reactome	R-HSA-3134975	Regulation of innate immune responses to cytosolic DNA
http___identifiers.org_reactome_R-HSA-3214815.sbgn	pathwayCommons	http://identifiers.org/reactome/R-HSA-3214815	reactome	R-HSA-3214815	HDACs deacetylate histones
http___identifiers.org_reactome_R-HSA-3214841.sbgn	pathwayCommons	http://identifiers.org/reactome/R-HSA-3214841	reactome	R-HSA-3214841	PKMTs methylate histone lysines
http___identifiers.org_reactome_R-HSA-3214842.sbgn	pathwayCommons	http://identifiers.org/reactome/R-HSA-3214842	reactome	R-HSA-3214842	HDMs demethylate histones
http___identifiers.org_reactome_R-HSA-3214847.sbgn	pathwayCommons	http://identifiers.org/reactome/R-HSA-3214847	reactome	R-HSA-3214847	HATs acetylate histones
http___identifiers.org_reactome_R-HSA-3214858.sbgn	pathwayCommons	http://identifiers.org/reactome/R-HSA-3214858	reactome	R-HSA-3214858	RMTs methylate histone arginines
http___identifiers.org_reactome_R-HSA-3229133.sbgn	pathwayCommons	http://identifiers.org/reactome/R-HSA-3229133	reactome	R-HSA-3229133	GSD Ib
http___identifiers.org_reactome_R-HSA-3232118.sbgn	pathwayCommons	http://identifiers.org/reactome/R-HSA-3232118	reactome	R-HSA-3232118	SUMOylation of transcription factors
http___identifiers.org_reactome_R-HSA-3238698.sbgn	pathwayCommons	http://identifiers.org/reactome/R-HSA-3238698	reactome	R-HSA-3238698	WNT ligand biogenesis and trafficking
http___identifiers.org_reactome_R-HSA-3247509.sbgn	pathwayCommons	http://identifiers.org/reactome/R-HSA-3247509	reactome	R-HSA-3247509	Chromatin modifying enzymes
http___identifiers.org_reactome_R-HSA-3248023.sbgn	pathwayCommons	http://identifiers.org/reactome/R-HSA-3248023	reactome	R-HSA-3248023	Regulation by TREX1
http___identifiers.org_reactome_R-HSA-3249367.sbgn	pathwayCommons	http://identifiers.org/reactome/R-HSA-3249367	reactome	R-HSA-3249367	STAT6-mediated induction of chemokines
http___identifiers.org_reactome_R-HSA-3270619.sbgn	pathwayCommons	http://identifiers.org/reactome/R-HSA-3270619	reactome	R-HSA-3270619	IRF3-mediated induction of type I IFN
http___identifiers.org_reactome_R-HSA-3274531.sbgn	pathwayCommons	http://identifiers.org/reactome/R-HSA-3274531	reactome	R-HSA-3274531	GSD Ia
http___identifiers.org_reactome_R-HSA-3282872.sbgn	pathwayCommons	http://identifiers.org/reactome/R-HSA-3282872	reactome	R-HSA-3282872	SCN4
http___identifiers.org_reactome_R-HSA-3295583.sbgn	pathwayCommons	http://identifiers.org/reactome/R-HSA-3295583	reactome	R-HSA-3295583	TRP channels
http___identifiers.org_reactome_R-HSA-3296197.sbgn	pathwayCommons	http://identifiers.org/reactome/R-HSA-3296197	reactome	R-HSA-3296197	Hydroxycarboxylic acid-binding receptors
http___identifiers.org_reactome_R-HSA-3299685.sbgn	pathwayCommons	http://identifiers.org/reactome/R-HSA-3299685	reactome	R-HSA-3299685	Detoxification of Reactive Oxygen Species
http___identifiers.org_reactome_R-HSA-3301854.sbgn	pathwayCommons	http://identifiers.org/reactome/R-HSA-3301854	reactome	R-HSA-3301854	Nuclear Pore Complex (NPC) Disassembly
http___identifiers.org_reactome_R-HSA-3304356.sbgn	pathwayCommons	http://identifiers.org/reactome/R-HSA-3304356	reactome	R-HSA-3304356	SMAD2/3 Phosphorylation Motif Mutants in Cancer
http___identifiers.org_reactome_R-HSA-3311021.sbgn	pathwayCommons	http://identifiers.org/reactome/R-HSA-3311021	reactome	R-HSA-3311021	SMAD4 MH2 Domain Mutants in Cancer
http___identifiers.org_reactome_R-HSA-3315487.sbgn	pathwayCommons	http://identifiers.org/reactome/R-HSA-3315487	reactome	R-HSA-3315487	SMAD2/3 MH2 Domain Mutants in Cancer
http___identifiers.org_reactome_R-HSA-3322077.sbgn	pathwayCommons	http://identifiers.org/reactome/R-HSA-3322077	reactome	R-HSA-3322077	Glycogen synthesis
http___identifiers.org_reactome_R-HSA-3359454.sbgn	pathwayCommons	http://identifiers.org/reactome/R-HSA-3359454	reactome	R-HSA-3359454	Defective TCN2 causes hereditary megaloblastic anemia
http___identifiers.org_reactome_R-HSA-3359457.sbgn	pathwayCommons	http://identifiers.org/reactome/R-HSA-3359457	reactome	R-HSA-3359457	Defective GIF causes intrinsic factor deficiency
http___identifiers.org_reactome_R-HSA-3359458.sbgn	pathwayCommons	http://identifiers.org/reactome/R-HSA-3359458	reactome	R-HSA-3359458	Defective LMBRD1 causes methylmalonic aciduria and homocystinuria type cblF
http___identifiers.org_reactome_R-HSA-3359462.sbgn	pathwayCommons	http://identifiers.org/reactome/R-HSA-3359462	reactome	R-HSA-3359462	Defective AMN causes hereditary megaloblastic anemia 1
http___identifiers.org_reactome_R-HSA-3359463.sbgn	pathwayCommons	http://identifiers.org/reactome/R-HSA-3359463	reactome	R-HSA-3359463	Defective CUBN causes hereditary megaloblastic anemia 1
http___identifiers.org_reactome_R-HSA-3359467.sbgn	pathwayCommons	http://identifiers.org/reactome/R-HSA-3359467	reactome	R-HSA-3359467	Defective MTRR causes methylmalonic aciduria and homocystinuria type cblE
http___identifiers.org_reactome_R-HSA-3359469.sbgn	pathwayCommons	http://identifiers.org/reactome/R-HSA-3359469	reactome	R-HSA-3359469	Defective MTR causes methylmalonic aciduria and homocystinuria type cblG
http___identifiers.org_reactome_R-HSA-3359471.sbgn	pathwayCommons	http://identifiers.org/reactome/R-HSA-3359471	reactome	R-HSA-3359471	Defective MMAB causes methylmalonic aciduria type cblB
http___identifiers.org_reactome_R-HSA-3359473.sbgn	pathwayCommons	http://identifiers.org/reactome/R-HSA-3359473	reactome	R-HSA-3359473	Defective MMADHC causes methylmalonic aciduria and homocystinuria type cblD
http___identifiers.org_reactome_R-HSA-3359474.sbgn	pathwayCommons	http://identifiers.org/reactome/R-HSA-3359474	reactome	R-HSA-3359474	Defective MMACHC causes methylmalonic aciduria and homocystinuria type cblC
http___identifiers.org_reactome_R-HSA-3359475.sbgn	pathwayCommons	http://identifiers.org/reactome/R-HSA-3359475	reactome	R-HSA-3359475	Defective MMAA causes methylmalonic aciduria type cblA
http___identifiers.org_reactome_R-HSA-3359478.sbgn	pathwayCommons	http://identifiers.org/reactome/R-HSA-3359478	reactome	R-HSA-3359478	Defective MUT causes methylmalonic aciduria mut type
http___identifiers.org_reactome_R-HSA-3359485.sbgn	pathwayCommons	http://identifiers.org/reactome/R-HSA-3359485	reactome	R-HSA-3359485	Defective CD320 causes methylmalonic aciduria
http___identifiers.org_reactome_R-HSA-3371378.sbgn	pathwayCommons	http://identifiers.org/reactome/R-HSA-3371378	reactome	R-HSA-3371378	Regulation by c-FLIP
http___identifiers.org_reactome_R-HSA-3371453.sbgn	pathwayCommons	http://identifiers.org/reactome/R-HSA-3371453	reactome	R-HSA-3371453	Regulation of HSF1-mediated heat shock response
http___identifiers.org_reactome_R-HSA-3371497.sbgn	pathwayCommons	http://identifiers.org/reactome/R-HSA-3371497	reactome	R-HSA-3371497	HSP90 chaperone cycle for SHRs
http___identifiers.org_reactome_R-HSA-3371511.sbgn	pathwayCommons	http://identifiers.org/reactome/R-HSA-3371511	reactome	R-HSA-3371511	HSF1 activation
http___identifiers.org_reactome_R-HSA-3371568.sbgn	pathwayCommons	http://identifiers.org/reactome/R-HSA-3371568	reactome	R-HSA-3371568	Attenuation phase
http___identifiers.org_reactome_R-HSA-3371571.sbgn	pathwayCommons	http://identifiers.org/reactome/R-HSA-3371571	reactome	R-HSA-3371571	HSF1-dependent transactivation
http___identifiers.org_reactome_R-HSA-3371598.sbgn	pathwayCommons	http://identifiers.org/reactome/R-HSA-3371598	reactome	R-HSA-3371598	Defective BTD causes biotidinase deficiency
http___identifiers.org_reactome_R-HSA-3371599.sbgn	pathwayCommons	http://identifiers.org/reactome/R-HSA-3371599	reactome	R-HSA-3371599	Defective HLCS causes multiple carboxylase deficiency
http___identifiers.org_reactome_R-HSA-349425.sbgn	pathwayCommons	http://identifiers.org/reactome/R-HSA-349425	reactome	R-HSA-349425	Autodegradation of the E3 ubiquitin ligase COP1
http___identifiers.org_reactome_R-HSA-350054.sbgn	pathwayCommons	http://identifiers.org/reactome/R-HSA-350054	reactome	R-HSA-350054	Notch-HLH transcription pathway
http___identifiers.org_reactome_R-HSA-350562.sbgn	pathwayCommons	http://identifiers.org/reactome/R-HSA-350562	reactome	R-HSA-350562	Regulation of ornithine decarboxylase (ODC)
http___identifiers.org_reactome_R-HSA-350864.sbgn	pathwayCommons	http://identifiers.org/reactome/R-HSA-350864	reactome	R-HSA-350864	Regulation of thyroid hormone activity
http___identifiers.org_reactome_R-HSA-351143.sbgn	pathwayCommons	http://identifiers.org/reactome/R-HSA-351143	reactome	R-HSA-351143	Agmatine biosynthesis
http___identifiers.org_reactome_R-HSA-351200.sbgn	pathwayCommons	http://identifiers.org/reactome/R-HSA-351200	reactome	R-HSA-351200	Interconversion of polyamines
http___identifiers.org_reactome_R-HSA-351202.sbgn	pathwayCommons	http://identifiers.org/reactome/R-HSA-351202	reactome	R-HSA-351202	Metabolism of polyamines
http___identifiers.org_reactome_R-HSA-351906.sbgn	pathwayCommons	http://identifiers.org/reactome/R-HSA-351906	reactome	R-HSA-351906	Apoptotic cleavage of cell adhesion proteins
http___identifiers.org_reactome_R-HSA-352230.sbgn	pathwayCommons	http://identifiers.org/reactome/R-HSA-352230	reactome	R-HSA-352230	Amino acid transport across the plasma membrane
http___identifiers.org_reactome_R-HSA-352238.sbgn	pathwayCommons	http://identifiers.org/reactome/R-HSA-352238	reactome	R-HSA-352238	Breakdown of the nuclear lamina
http___identifiers.org_reactome_R-HSA-354192.sbgn	pathwayCommons	http://identifiers.org/reactome/R-HSA-354192	reactome	R-HSA-354192	Integrin alphaIIb beta3 signaling
http___identifiers.org_reactome_R-HSA-354194.sbgn	pathwayCommons	http://identifiers.org/reactome/R-HSA-354194	reactome	R-HSA-354194	GRB2:SOS provides linkage to MAPK signaling for Integrins
http___identifiers.org_reactome_R-HSA-3560783.sbgn	pathwayCommons	http://identifiers.org/reactome/R-HSA-3560783	reactome	R-HSA-3560783	"Defective B4GALT7 causes EDS, progeroid type"
http___identifiers.org_reactome_R-HSA-3560792.sbgn	pathwayCommons	http://identifiers.org/reactome/R-HSA-3560792	reactome	R-HSA-3560792	Defective SLC26A2 causes chondrodysplasias
http___identifiers.org_reactome_R-HSA-3560796.sbgn	pathwayCommons	http://identifiers.org/reactome/R-HSA-3560796	reactome	R-HSA-3560796	Defective PAPSS2 causes SEMD-PA
http___identifiers.org_reactome_R-HSA-3560801.sbgn	pathwayCommons	http://identifiers.org/reactome/R-HSA-3560801	reactome	R-HSA-3560801	Defective B3GAT3 causes JDSSDHD
http___identifiers.org_reactome_R-HSA-3595172.sbgn	pathwayCommons	http://identifiers.org/reactome/R-HSA-3595172	reactome	R-HSA-3595172	Defective CHST3 causes SEDCJD
http___identifiers.org_reactome_R-HSA-3595174.sbgn	pathwayCommons	http://identifiers.org/reactome/R-HSA-3595174	reactome	R-HSA-3595174	"Defective CHST14 causes EDS, musculocontractural type"
http___identifiers.org_reactome_R-HSA-3595177.sbgn	pathwayCommons	http://identifiers.org/reactome/R-HSA-3595177	reactome	R-HSA-3595177	Defective CHSY1 causes TPBS
http___identifiers.org_reactome_R-HSA-3642279.sbgn	pathwayCommons	http://identifiers.org/reactome/R-HSA-3642279	reactome	R-HSA-3642279	TGFBR2 MSI Frameshift Mutants in Cancer
http___identifiers.org_reactome_R-HSA-3645790.sbgn	pathwayCommons	http://identifiers.org/reactome/R-HSA-3645790	reactome	R-HSA-3645790	TGFBR2 Kinase Domain Mutants in Cancer
http___identifiers.org_reactome_R-HSA-3656225.sbgn	pathwayCommons	http://identifiers.org/reactome/R-HSA-3656225	reactome	R-HSA-3656225	Defective CHST6 causes MCDC1
http___identifiers.org_reactome_R-HSA-3656237.sbgn	pathwayCommons	http://identifiers.org/reactome/R-HSA-3656237	reactome	R-HSA-3656237	Defective EXT2 causes exostoses 2
http___identifiers.org_reactome_R-HSA-3656243.sbgn	pathwayCommons	http://identifiers.org/reactome/R-HSA-3656243	reactome	R-HSA-3656243	Defective ST3GAL3 causes MCT12 and EIEE15
http___identifiers.org_reactome_R-HSA-3656244.sbgn	pathwayCommons	http://identifiers.org/reactome/R-HSA-3656244	reactome	R-HSA-3656244	Defective B4GALT1 causes B4GALT1-CDG (CDG-2d)
http___identifiers.org_reactome_R-HSA-3656253.sbgn	pathwayCommons	http://identifiers.org/reactome/R-HSA-3656253	reactome	R-HSA-3656253	"Defective EXT1 causes exostoses 1, TRPS2 and CHDS"
http___identifiers.org_reactome_R-HSA-3656532.sbgn	pathwayCommons	http://identifiers.org/reactome/R-HSA-3656532	reactome	R-HSA-3656532	TGFBR1 KD Mutants in Cancer
http___identifiers.org_reactome_R-HSA-3656535.sbgn	pathwayCommons	http://identifiers.org/reactome/R-HSA-3656535	reactome	R-HSA-3656535	TGFBR1 LBD Mutants in Cancer
http___identifiers.org_reactome_R-HSA-372708.sbgn	pathwayCommons	http://identifiers.org/reactome/R-HSA-372708	reactome	R-HSA-372708	p130Cas linkage to MAPK signaling for integrins
http___identifiers.org_reactome_R-HSA-373076.sbgn	pathwayCommons	http://identifiers.org/reactome/R-HSA-373076	reactome	R-HSA-373076	Class A/1 (Rhodopsin-like receptors)
http___identifiers.org_reactome_R-HSA-373080.sbgn	pathwayCommons	http://identifiers.org/reactome/R-HSA-373080	reactome	R-HSA-373080	Class B/2 (Secretin family receptors)
http___identifiers.org_reactome_R-HSA-373752.sbgn	pathwayCommons	http://identifiers.org/reactome/R-HSA-373752	reactome	R-HSA-373752	Netrin-1 signaling
http___identifiers.org_reactome_R-HSA-373753.sbgn	pathwayCommons	http://identifiers.org/reactome/R-HSA-373753	reactome	R-HSA-373753	Nephrin family interactions
http___identifiers.org_reactome_R-HSA-373756.sbgn	pathwayCommons	http://identifiers.org/reactome/R-HSA-373756	reactome	R-HSA-373756	SDK interactions
http___identifiers.org_reactome_R-HSA-373760.sbgn	pathwayCommons	http://identifiers.org/reactome/R-HSA-373760	reactome	R-HSA-373760	L1CAM interactions
http___identifiers.org_reactome_R-HSA-375165.sbgn	pathwayCommons	http://identifiers.org/reactome/R-HSA-375165	reactome	R-HSA-375165	NCAM signaling for neurite out-growth
http___identifiers.org_reactome_R-HSA-375170.sbgn	pathwayCommons	http://identifiers.org/reactome/R-HSA-375170	reactome	R-HSA-375170	CDO in myogenesis
http___identifiers.org_reactome_R-HSA-375276.sbgn	pathwayCommons	http://identifiers.org/reactome/R-HSA-375276	reactome	R-HSA-375276	Peptide ligand-binding receptors
http___identifiers.org_reactome_R-HSA-375280.sbgn	pathwayCommons	http://identifiers.org/reactome/R-HSA-375280	reactome	R-HSA-375280	Amine ligand-binding receptors
http___identifiers.org_reactome_R-HSA-375281.sbgn	pathwayCommons	http://identifiers.org/reactome/R-HSA-375281	reactome	R-HSA-375281	Hormone ligand-binding receptors
http___identifiers.org_reactome_R-HSA-376172.sbgn	pathwayCommons	http://identifiers.org/reactome/R-HSA-376172	reactome	R-HSA-376172	DSCAM interactions
http___identifiers.org_reactome_R-HSA-376176.sbgn	pathwayCommons	http://identifiers.org/reactome/R-HSA-376176	reactome	R-HSA-376176	Signaling by ROBO receptors
http___identifiers.org_reactome_R-HSA-3769402.sbgn	pathwayCommons	http://identifiers.org/reactome/R-HSA-3769402	reactome	R-HSA-3769402	Deactivation of the beta-catenin transactivating complex
http___identifiers.org_reactome_R-HSA-3772470.sbgn	pathwayCommons	http://identifiers.org/reactome/R-HSA-3772470	reactome	R-HSA-3772470	Negative regulation of TCF-dependent signaling by WNT ligand antagonists
http___identifiers.org_reactome_R-HSA-3785653.sbgn	pathwayCommons	http://identifiers.org/reactome/R-HSA-3785653	reactome	R-HSA-3785653	Myoclonic epilepsy of Lafora
http___identifiers.org_reactome_R-HSA-379397.sbgn	pathwayCommons	http://identifiers.org/reactome/R-HSA-379397	reactome	R-HSA-379397	Enzymatic degradation of dopamine by COMT
http___identifiers.org_reactome_R-HSA-379398.sbgn	pathwayCommons	http://identifiers.org/reactome/R-HSA-379398	reactome	R-HSA-379398	Enzymatic degradation of Dopamine by monoamine oxidase
http___identifiers.org_reactome_R-HSA-379401.sbgn	pathwayCommons	http://identifiers.org/reactome/R-HSA-379401	reactome	R-HSA-379401	Clearance of dopamine
http___identifiers.org_reactome_R-HSA-379716.sbgn	pathwayCommons	http://identifiers.org/reactome/R-HSA-379716	reactome	R-HSA-379716	Cytosolic tRNA aminoacylation
http___identifiers.org_reactome_R-HSA-379726.sbgn	pathwayCommons	http://identifiers.org/reactome/R-HSA-379726	reactome	R-HSA-379726	Mitochondrial tRNA aminoacylation
http___identifiers.org_reactome_R-HSA-380095.sbgn	pathwayCommons	http://identifiers.org/reactome/R-HSA-380095	reactome	R-HSA-380095	Tachykinin receptors bind tachykinins
http___identifiers.org_reactome_R-HSA-380108.sbgn	pathwayCommons	http://identifiers.org/reactome/R-HSA-380108	reactome	R-HSA-380108	Chemokine receptors bind chemokines
http___identifiers.org_reactome_R-HSA-380259.sbgn	pathwayCommons	http://identifiers.org/reactome/R-HSA-380259	reactome	R-HSA-380259	Loss of Nlp from mitotic centrosomes
http___identifiers.org_reactome_R-HSA-380270.sbgn	pathwayCommons	http://identifiers.org/reactome/R-HSA-380270	reactome	R-HSA-380270	Recruitment of mitotic centrosome proteins and complexes
http___identifiers.org_reactome_R-HSA-380284.sbgn	pathwayCommons	http://identifiers.org/reactome/R-HSA-380284	reactome	R-HSA-380284	Loss of proteins required for interphase microtubule organization from the centrosome
http___identifiers.org_reactome_R-HSA-380320.sbgn	pathwayCommons	http://identifiers.org/reactome/R-HSA-380320	reactome	R-HSA-380320	Recruitment of NuMA to mitotic centrosomes
http___identifiers.org_reactome_R-HSA-380612.sbgn	pathwayCommons	http://identifiers.org/reactome/R-HSA-380612	reactome	R-HSA-380612	Metabolism of serotonin
http___identifiers.org_reactome_R-HSA-380615.sbgn	pathwayCommons	http://identifiers.org/reactome/R-HSA-380615	reactome	R-HSA-380615	Clearance of seratonin
http___identifiers.org_reactome_R-HSA-380972.sbgn	pathwayCommons	http://identifiers.org/reactome/R-HSA-380972	reactome	R-HSA-380972	Energy dependent regulation of mTOR by LKB1-AMPK
http___identifiers.org_reactome_R-HSA-380994.sbgn	pathwayCommons	http://identifiers.org/reactome/R-HSA-380994	reactome	R-HSA-380994	ATF4 activates genes
http___identifiers.org_reactome_R-HSA-381033.sbgn	pathwayCommons	http://identifiers.org/reactome/R-HSA-381033	reactome	R-HSA-381033	ATF6 (ATF6-alpha) activates chaperones
http___identifiers.org_reactome_R-HSA-381038.sbgn	pathwayCommons	http://identifiers.org/reactome/R-HSA-381038	reactome	R-HSA-381038	XBP1(S) activates chaperone genes
http___identifiers.org_reactome_R-HSA-381042.sbgn	pathwayCommons	http://identifiers.org/reactome/R-HSA-381042	reactome	R-HSA-381042	PERK regulates gene expression
http___identifiers.org_reactome_R-HSA-381070.sbgn	pathwayCommons	http://identifiers.org/reactome/R-HSA-381070	reactome	R-HSA-381070	IRE1alpha activates chaperones
http___identifiers.org_reactome_R-HSA-381183.sbgn	pathwayCommons	http://identifiers.org/reactome/R-HSA-381183	reactome	R-HSA-381183	ATF6 (ATF6-alpha) activates chaperone genes
http___identifiers.org_reactome_R-HSA-381340.sbgn	pathwayCommons	http://identifiers.org/reactome/R-HSA-381340	reactome	R-HSA-381340	Transcriptional regulation of white adipocyte differentiation
http___identifiers.org_reactome_R-HSA-381426.sbgn	pathwayCommons	http://identifiers.org/reactome/R-HSA-381426	reactome	R-HSA-381426	Regulation of IGF Activity by IGFBP
http___identifiers.org_reactome_R-HSA-3814836.sbgn	pathwayCommons	http://identifiers.org/reactome/R-HSA-3814836	reactome	R-HSA-3814836	GSD XV
http___identifiers.org_reactome_R-HSA-381676.sbgn	pathwayCommons	http://identifiers.org/reactome/R-HSA-381676	reactome	R-HSA-381676	Glucagon-like Peptide-1 (GLP1) regulates insulin secretion
http___identifiers.org_reactome_R-HSA-381753.sbgn	pathwayCommons	http://identifiers.org/reactome/R-HSA-381753	reactome	R-HSA-381753	Olfactory Signaling Pathway
http___identifiers.org_reactome_R-HSA-381771.sbgn	pathwayCommons	http://identifiers.org/reactome/R-HSA-381771	reactome	R-HSA-381771	"Synthesis, secretion, and inactivation of Glucagon-like Peptide-1 (GLP-1)"
http___identifiers.org_reactome_R-HSA-382556.sbgn	pathwayCommons	http://identifiers.org/reactome/R-HSA-382556	reactome	R-HSA-382556	ABC-family proteins mediated transport
http___identifiers.org_reactome_R-HSA-3828062.sbgn	pathwayCommons	http://identifiers.org/reactome/R-HSA-3828062	reactome	R-HSA-3828062	GSD 0 (muscle)
http___identifiers.org_reactome_R-HSA-383280.sbgn	pathwayCommons	http://identifiers.org/reactome/R-HSA-383280	reactome	R-HSA-383280	Nuclear Receptor transcription pathway
http___identifiers.org_reactome_R-HSA-3858516.sbgn	pathwayCommons	http://identifiers.org/reactome/R-HSA-3858516	reactome	R-HSA-3858516	GSD 0
http___identifiers.org_reactome_R-HSA-3878781.sbgn	pathwayCommons	http://identifiers.org/reactome/R-HSA-3878781	reactome	R-HSA-3878781	GSD IV
http___identifiers.org_reactome_R-HSA-388479.sbgn	pathwayCommons	http://identifiers.org/reactome/R-HSA-388479	reactome	R-HSA-388479	Vasopressin-like receptors
http___identifiers.org_reactome_R-HSA-388841.sbgn	pathwayCommons	http://identifiers.org/reactome/R-HSA-388841	reactome	R-HSA-388841	Costimulation by the CD28 family
http___identifiers.org_reactome_R-HSA-388844.sbgn	pathwayCommons	http://identifiers.org/reactome/R-HSA-388844	reactome	R-HSA-388844	Receptor-type tyrosine-protein phosphatases
http___identifiers.org_reactome_R-HSA-389356.sbgn	pathwayCommons	http://identifiers.org/reactome/R-HSA-389356	reactome	R-HSA-389356	CD28 co-stimulation
http___identifiers.org_reactome_R-HSA-389357.sbgn	pathwayCommons	http://identifiers.org/reactome/R-HSA-389357	reactome	R-HSA-389357	CD28 dependent PI3K/Akt signaling
http___identifiers.org_reactome_R-HSA-389359.sbgn	pathwayCommons	http://identifiers.org/reactome/R-HSA-389359	reactome	R-HSA-389359	CD28 dependent Vav1 pathway
http___identifiers.org_reactome_R-HSA-389397.sbgn	pathwayCommons	http://identifiers.org/reactome/R-HSA-389397	reactome	R-HSA-389397	Orexin and neuropeptides FF and QRFP bind to their respective receptors
http___identifiers.org_reactome_R-HSA-389513.sbgn	pathwayCommons	http://identifiers.org/reactome/R-HSA-389513	reactome	R-HSA-389513	CTLA4 inhibitory signaling
http___identifiers.org_reactome_R-HSA-389542.sbgn	pathwayCommons	http://identifiers.org/reactome/R-HSA-389542	reactome	R-HSA-389542	NADPH regeneration
http___identifiers.org_reactome_R-HSA-389599.sbgn	pathwayCommons	http://identifiers.org/reactome/R-HSA-389599	reactome	R-HSA-389599	Alpha-oxidation of phytanate
http___identifiers.org_reactome_R-HSA-389661.sbgn	pathwayCommons	http://identifiers.org/reactome/R-HSA-389661	reactome	R-HSA-389661	Glyoxylate metabolism and glycine degradation
http___identifiers.org_reactome_R-HSA-389887.sbgn	pathwayCommons	http://identifiers.org/reactome/R-HSA-389887	reactome	R-HSA-389887	Beta-oxidation of pristanoyl-CoA
http___identifiers.org_reactome_R-HSA-389948.sbgn	pathwayCommons	http://identifiers.org/reactome/R-HSA-389948	reactome	R-HSA-389948	PD-1 signaling
http___identifiers.org_reactome_R-HSA-389957.sbgn	pathwayCommons	http://identifiers.org/reactome/R-HSA-389957	reactome	R-HSA-389957	Prefoldin mediated transfer of substrate to CCT/TriC
http___identifiers.org_reactome_R-HSA-389960.sbgn	pathwayCommons	http://identifiers.org/reactome/R-HSA-389960	reactome	R-HSA-389960	Formation of tubulin folding intermediates by CCT/TriC
http___identifiers.org_reactome_R-HSA-389977.sbgn	pathwayCommons	http://identifiers.org/reactome/R-HSA-389977	reactome	R-HSA-389977	Post-chaperonin tubulin folding pathway
http___identifiers.org_reactome_R-HSA-390247.sbgn	pathwayCommons	http://identifiers.org/reactome/R-HSA-390247	reactome	R-HSA-390247	Beta-oxidation of very long chain fatty acids
http___identifiers.org_reactome_R-HSA-390450.sbgn	pathwayCommons	http://identifiers.org/reactome/R-HSA-390450	reactome	R-HSA-390450	Folding of actin by CCT/TriC
http___identifiers.org_reactome_R-HSA-390471.sbgn	pathwayCommons	http://identifiers.org/reactome/R-HSA-390471	reactome	R-HSA-390471	Association of TriC/CCT with target proteins during biosynthesis
http___identifiers.org_reactome_R-HSA-390522.sbgn	pathwayCommons	http://identifiers.org/reactome/R-HSA-390522	reactome	R-HSA-390522	Striated Muscle Contraction
http___identifiers.org_reactome_R-HSA-390648.sbgn	pathwayCommons	http://identifiers.org/reactome/R-HSA-390648	reactome	R-HSA-390648	Muscarinic acetylcholine receptors
